"","NumTypes","Seed","InitializationTheta","InitializationAlpha","NumFold","ELBO","meanInitial"
"1",2,1,1,1,1,-21365.434383049,-21896.0042847004
"2",3,1,1,1,1,-19971.5140400419,-20404.7821011075
"3",4,1,1,1,1,-18956.6449188481,-19405.7648710652
"4",5,1,1,1,1,-18354.5877850978,-18894.2783124196
"5",6,1,1,1,1,-17841.8521380984,-18498.1602440973
"6",7,1,1,1,1,-17819.3877449938,-18443.7823799436
"7",2,2,1,1,1,-21337.5035707766,-21888.7709479385
"8",3,2,1,1,1,-19945.9400746369,-20387.4354552615
"9",4,2,1,1,1,-18949.4035076231,-19390.2392758622
"10",5,2,1,1,1,-18348.0711580533,-18926.1035731348
"11",6,2,1,1,1,-18065.317758797,-18651.9688831287
"12",7,2,1,1,1,-18039.5228726006,-18611.5254540255
"13",2,3,1,1,1,-21347.8641839043,-21888.6512544156
"14",3,3,1,1,1,-20017.3145577414,-20446.1602688464
"15",4,3,1,1,1,-18984.5858334504,-19618.2695056587
"16",5,3,1,1,1,-18297.9416051172,-18787.0116604585
"17",6,3,1,1,1,-17990.7671295161,-18640.8080240654
"18",7,3,1,1,1,-18069.9043797059,-18466.6081603196
"19",2,1,2,1,1,-21336.0189480243,-21888.6517436302
"20",3,1,2,1,1,-19988.8348982406,-20393.699814697
"21",4,1,2,1,1,-18942.5698265102,-19610.0009058949
"22",5,1,2,1,1,-18260.3341864404,-18787.6780703504
"23",6,1,2,1,1,-18176.6163472016,-18714.8069482825
"24",7,1,2,1,1,-18041.9079158784,-18559.0882802214
"25",2,2,2,1,1,-21338.1103132186,-21888.3884742671
"26",3,2,2,1,1,-19989.3639822862,-20414.5654318243
"27",4,2,2,1,1,-19178.8477365534,-19670.093274958
"28",5,2,2,1,1,-18412.4624324998,-18992.2532520096
"29",6,2,2,1,1,-17941.3510728846,-18528.6477251822
"30",7,2,2,1,1,-17689.0637682654,-18315.1140001114
"31",2,3,2,1,1,-21339.6497196723,-21890.3819066447
"32",3,3,2,1,1,-19888.1492886564,-20682.5165041895
"33",4,3,2,1,1,-18989.7690218379,-19390.0137512386
"34",5,3,2,1,1,-18429.0961255323,-18882.7599652244
"35",6,3,2,1,1,-17999.9116521926,-18559.7911975735
"36",7,3,2,1,1,-17762.3932020843,-18363.8494237396
"37",2,1,3,1,1,-21339.8478193857,-21891.6530631856
"38",3,1,3,1,1,-20089.8377070941,-20430.3299531884
"39",4,1,3,1,1,-19332.0549216252,-19605.7824263176
"40",5,1,3,1,1,-18540.824375316,-19056.9859670183
"41",6,1,3,1,1,-18084.6266428918,-18634.2653457806
"42",7,1,3,1,1,-17809.2663368307,-18552.6993553027
"43",2,2,3,1,1,-21350.6369073034,-21890.225845741
"44",3,2,3,1,1,-19934.6947282892,-20479.4305982166
"45",4,2,3,1,1,-19494.6864836976,-19922.9826262134
"46",5,2,3,1,1,-18298.1282398799,-18832.5355634806
"47",6,2,3,1,1,-18103.4764942996,-18780.2416008302
"48",7,2,3,1,1,-17832.0316698974,-18475.0831621585
"49",2,3,3,1,1,-21350.2225357166,-21891.0819364687
"50",3,3,3,1,1,-20032.6672759985,-20432.7653380154
"51",4,3,3,1,1,-18945.4779921718,-19432.6143612925
"52",5,3,3,1,1,-18925.0943923773,-19352.665695233
"53",6,3,3,1,1,-18130.4064573622,-18643.3192711145
"54",7,3,3,1,1,-17767.1708054855,-18387.3730211601
"55",2,1,4,1,1,-21343.8259773389,-21889.9517716594
"56",3,1,4,1,1,-20012.0029999997,-20420.1038870248
"57",4,1,4,1,1,-18942.3313426632,-19405.1427624808
"58",5,1,4,1,1,-18361.741616791,-19152.8920185306
"59",6,1,4,1,1,-17937.8298154786,-18513.1599939647
"60",7,1,4,1,1,-17836.4034826291,-18348.2956893951
"61",2,2,4,1,1,-21352.6210845623,-21893.3842881271
"62",3,2,4,1,1,-20026.0202762594,-20433.71842582
"63",4,2,4,1,1,-19003.7392977541,-19613.7682294356
"64",5,2,4,1,1,-18326.2596770965,-18898.7135794566
"65",6,2,4,1,1,-17935.442242307,-18744.6848509992
"66",7,2,4,1,1,-17764.632470409,-18362.7002458118
"67",2,3,4,1,1,-21342.1077587715,-21891.9821437589
"68",3,3,4,1,1,-20000.3688901412,-20432.9799134843
"69",4,3,4,1,1,-19102.0466332483,-19798.0092299596
"70",5,3,4,1,1,-18573.4568005945,-19029.956192535
"71",6,3,4,1,1,-17986.9261682508,-18563.11862085
"72",7,3,4,1,1,-17785.3279423345,-18387.6875802003
"73",2,1,1,2,1,-21365.4173816809,-21895.2923921719
"74",3,1,1,2,1,-19972.4949340764,-20400.3105315844
"75",4,1,1,2,1,-18956.3969816455,-19406.4369681666
"76",5,1,1,2,1,-18350.9570826015,-18898.0582970333
"77",6,1,1,2,1,-17839.5701092265,-18495.2586743067
"78",7,1,1,2,1,-17887.1558101087,-18437.9752149053
"79",2,2,1,2,1,-21337.5802711767,-21888.8030541887
"80",3,2,1,2,1,-19944.5235421933,-20387.4085879876
"81",4,2,1,2,1,-18954.1538218363,-19392.0298275129
"82",5,2,1,2,1,-18402.8385581707,-18964.7267668185
"83",6,2,1,2,1,-18006.4907377534,-18623.8068972703
"84",7,2,1,2,1,-18056.8488726495,-18634.5784076757
"85",2,3,1,2,1,-21347.8758044251,-21888.6723880399
"86",3,3,1,2,1,-20023.6027620499,-20450.7068232069
"87",4,3,1,2,1,-18989.4386182158,-19711.695971732
"88",5,3,1,2,1,-18294.3287815072,-18783.9361881702
"89",6,3,1,2,1,-18004.8273237837,-18641.7997161226
"90",7,3,1,2,1,-17926.9608833951,-18420.7451051316
"91",2,1,2,2,1,-21338.456446893,-21889.2750392232
"92",3,1,2,2,1,-19988.2372648908,-20393.6016308502
"93",4,1,2,2,1,-18926.3142961242,-19600.0173892466
"94",5,1,2,2,1,-18257.4697690436,-18785.7224558186
"95",6,1,2,2,1,-18281.9001892004,-18654.2491610329
"96",7,1,2,2,1,-17970.0268733191,-18512.9259974164
"97",2,2,2,2,1,-21338.4330411471,-21888.6874435122
"98",3,2,2,2,1,-19990.387140598,-20412.7844687936
"99",4,2,2,2,1,-19138.7351918743,-19588.7875929327
"100",5,2,2,2,1,-18409.9267035528,-18971.9086056128
"101",6,2,2,2,1,-17941.0573326379,-18513.9941679382
"102",7,2,2,2,1,-17709.9458091306,-18305.8973692936
"103",2,3,2,2,1,-21339.6371263699,-21890.3137228862
"104",3,3,2,2,1,-19889.1678613839,-20685.8925938606
"105",4,3,2,2,1,-19001.1236286252,-19402.7781048054
"106",5,3,2,2,1,-18549.5264400856,-18969.2295974728
"107",6,3,2,2,1,-17996.4719342822,-18555.784381789
"108",7,3,2,2,1,-17716.1683179688,-18300.3830677036
"109",2,1,3,2,1,-21339.0844346312,-21892.1878906631
"110",3,1,3,2,1,-20165.4740047645,-20446.1148620237
"111",4,1,3,2,1,-19377.7846873861,-19639.8039053833
"112",5,1,3,2,1,-18525.7980870213,-19039.1760294054
"113",6,1,3,2,1,-18029.5631593035,-18612.0233335562
"114",7,1,3,2,1,-17713.3494249359,-18503.7482088583
"115",2,2,3,2,1,-21350.69389037,-21890.2994304884
"116",3,2,3,2,1,-19898.6637016542,-20460.7221606407
"117",4,2,3,2,1,-19234.1646401476,-19860.4027411071
"118",5,2,3,2,1,-18299.439673879,-18843.6832766097
"119",6,2,3,2,1,-18010.4653984472,-18672.8730322707
"120",7,2,3,2,1,-17865.9193538592,-18464.4889789269
"121",2,3,3,2,1,-21350.2202784632,-21890.9409396954
"122",3,3,3,2,1,-20023.3668750532,-20428.0294199448
"123",4,3,3,2,1,-18940.498625371,-19426.3056235029
"124",5,3,3,2,1,-18833.6902529058,-19301.194444818
"125",6,3,3,2,1,-18104.9053852833,-18592.9492455418
"126",7,3,3,2,1,-17667.4699808137,-18362.2060001517
"127",2,1,4,2,1,-21344.9448934906,-21890.2968292447
"128",3,1,4,2,1,-20001.5799662074,-20417.3660260882
"129",4,1,4,2,1,-18942.7471416087,-19402.7672207007
"130",5,1,4,2,1,-18355.6703798677,-19063.5222781661
"131",6,1,4,2,1,-17930.3482131785,-18523.2996549879
"132",7,1,4,2,1,-17826.1429182169,-18366.1589907674
"133",2,2,4,2,1,-21352.3869148115,-21894.4844206168
"134",3,2,4,2,1,-20014.5933117804,-20423.1462781607
"135",4,2,4,2,1,-18986.5605283386,-19547.5320565021
"136",5,2,4,2,1,-18327.406037995,-18897.7467775229
"137",6,2,4,2,1,-17958.8575401339,-18607.7277159691
"138",7,2,4,2,1,-17758.0935135792,-18328.2631580415
